EmpID,FirstName,LastName,StartDate,ExitDate,Supervisor,ADEmail,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DOB,GenderCode,Performance Score,Current Employee Rating
3448,Angela,Molina,1-Oct-19,6-Nov-20,Patricia Cook,angela.molina@bilearner.com,Future Start,Full-Time,Zone A,Temporary,12/5/1958,Male,Fully Meets,3
3449,Gerald,Preston,10-May-23,27-May-23,Ashley Reeves,gerald.preston@bilearner.com,Future Start,Contract,Zone B,Temporary,18-09-1992,Male,Fully Meets,5
3450,Reilly,Moyer,1-Sep-20,4-Dec-22,Stanley Harvey,reilly.moyer@bilearner.com,Active,Contract,Zone C,Temporary,11/8/1994,Male,Exceeds,2
3451,Carlee,French,18-Feb-21,11-Nov-22,Michael Bradshaw,carlee.french@bilearner.com,Active,Contract,Zone C,Full-Time,15-01-1968,Male,Exceeds,3
3452,Jaydon,Blackburn,8-Nov-22,,Debbie Crosby,jaydon.blackburn@bilearner.com,Active,Part-Time,Zone A,Part-Time,7/1/1947,Male,Fully Meets,2
3453,Bridger,Carter,13-Oct-22,,Elizabeth Taylor,bridger.carter@bilearner.com,Active,Contract,Zone C,Part-Time,7/4/1982,Male,Fully Meets,4
3454,Leon,Beard,11-Sep-22,,Brian Dunlap,leon.beard@bilearner.com,Active,Full-Time,Zone C,Full-Time,29-01-1970,Male,Needs Improvement,4
3455,Charity,Miranda,29-Jun-21,5-Jul-22,Daniel Rodriguez,charity.miranda@bilearner.com,Active,Full-Time,Zone C,Temporary,18-01-1999,Male,Exceeds,4
3456,Axel,Howe,6-Mar-23,,Martin Hammond,axel.howe@bilearner.com,Active,Full-Time,Zone A,Temporary,25-09-1946,Female,Fully Meets,3
3457,Milton,Wall,25-Sep-20,,Sara Bell,milton.wall@bilearner.com,Active,Full-Time,Zone B,Temporary,23-08-1947,Female,Needs Improvement,3
3458,Cory,Robinson,28-Apr-22,24-May-23,Elizabeth Anderson,cory.robinson@bilearner.com,Future Start,Contract,Zone A,Full-Time,12/8/1996,Female,Needs Improvement,3
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Erin Bailey,saniya.yu@bilearner.com,Future Start,Part-Time,Zone A,Full-Time,9/2/1944,Male,Exceeds,2
3460,Alisa,James,19-Feb-20,,Dennis Henderson,alisa.james@bilearner.com,Active,Full-Time,Zone A,Full-Time,10/2/1944,Male,Fully Meets,3
3461,Lincoln,Compton,18-Jul-19,1-Oct-21,Tammy Conner,lincoln.compton@bilearner.com,Future Start,Full-Time,Zone C,Part-Time,29-12-1997,Male,Needs Improvement,1
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Brianna Mathews,aliana.nolan@bilearner.com,Active,Contract,Zone A,Full-Time,9/8/1942,Male,Needs Improvement,3
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Jessica Peters,kayden.dodson@bilearner.com,Active,Part-Time,Zone A,Temporary,21-06-1951,Male,Fully Meets,1
3464,James,Duke,3-Dec-18,9-Sep-22,Mark Harris,james.duke@bilearner.com,Active,Contract,Zone B,Full-Time,17-06-1998,Male,Needs Improvement,5
3465,Willow,Stuart,8-Nov-21,,Elizabeth Tapia,willow.stuart@bilearner.com,Active,Full-Time,Zone B,Full-Time,7/1/1962,Male,Needs Improvement,3
3466,Clayton,Walker,13-Apr-22,10-Apr-23,Jon Holden,clayton.walker@bilearner.com,Active,Part-Time,Zone C,Full-Time,26-01-1979,Male,Exceeds,4
3467,Celia,Curtis,6-May-20,,Michael Odonnell,celia.curtis@bilearner.com,Active,Contract,Zone A,Part-Time,14-05-1987,Female,Exceeds,1
3468,Valentin,Reilly,9-Sep-19,,Andres Parker,valentin.reilly@bilearner.com,Active,Contract,Zone B,Temporary,26-04-1998,Female,Fully Meets,4
3469,Ryland,Shepherd,29-Jul-20,5-Jan-23,James Berry,ryland.shepherd@bilearner.com,Future Start,Contract,Zone B,Full-Time,21-02-1945,Female,Needs Improvement,3
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Gail Ali,esteban.gilbert@bilearner.com,Future Start,Contract,Zone C,Part-Time,31-05-1997,Female,Needs Improvement,3
3471,Jonathan,Adkins,29-Feb-20,,John Marshall,jonathan.adkins@bilearner.com,Active,Part-Time,Zone C,Temporary,3/1/1967,Male,Fully Meets,4
3472,Nevaeh,Soto,15-Jan-23,,Jessica Chang,nevaeh.soto@bilearner.com,Active,Contract,Zone C,Full-Time,12/1/1982,Male,Exceeds,4
3473,Chaim,Mata,29-Jun-23,,Desiree Vang,chaim.mata@bilearner.com,Active,Part-Time,Zone A,Temporary,1/10/1950,Male,Exceeds,2
3474,Arely,Patton,9-Mar-20,,Andrew Goodman,arely.patton@bilearner.com,Active,Full-Time,Zone A,Temporary,16-12-1965,Male,Fully Meets,2
3475,Vance,Trujillo,21-Sep-21,13-Apr-23,Rebecca Simpson,vance.trujillo@bilearner.com,Active,Full-Time,Zone C,Temporary,25-12-1957,Male,Fully Meets,2
3476,Charlie,Koch,12-Jun-23,6-Jul-23,Samantha Cardenas,charlie.koch@bilearner.com,Active,Part-Time,Zone A,Temporary,20-06-1945,Male,Needs Improvement,2
3477,Sonny,Horne,7-Apr-19,,Nancy Johnson,sonny.horne@bilearner.com,Active,Part-Time,Zone A,Full-Time,3/12/1969,Female,Needs Improvement,2
3478,Thomas,Chandler,17-Sep-18,9-Jan-19,Richard Hodges,thomas.chandler@bilearner.com,Active,Full-Time,Zone C,Temporary,10/10/1957,Female,Fully Meets,2
3479,Sarai,Stone,2-Aug-22,2-Apr-23,Madison Wilson,sarai.stone@bilearner.com,Active,Contract,Zone A,Part-Time,17-05-1962,Female,Fully Meets,2
3480,Jerimiah,Harmon,8-Sep-22,16-Oct-22,Eric King,jerimiah.harmon@bilearner.com,Future Start,Full-Time,Zone C,Temporary,9/8/1946,Female,Fully Meets,1
3481,Leland,Allen,7-Mar-19,31-May-21,Brandon Harris,leland.allen@bilearner.com,Future Start,Full-Time,Zone C,Part-Time,11/12/1965,Male,Fully Meets,4
3482,Cristal,Bolton,29-Oct-19,7-Feb-21,Matthew Flores,cristal.bolton@bilearner.com,Future Start,Full-Time,Zone A,Temporary,11/2/1990,Male,Needs Improvement,2
3483,Jaslene,Harding,26-Sep-21,,Krystal Hamilton,jaslene.harding@bilearner.com,Active,Part-Time,Zone B,Temporary,19-06-1964,Male,Fully Meets,1
3484,Albert,Gonzalez,29-Aug-18,,Amber Hernandez,albert.gonzalez@bilearner.com,Active,Part-Time,Zone B,Full-Time,18-07-1995,Male,Fully Meets,4
3485,Jaiden,Johnson,26-Oct-21,,Patricia Smith,jaiden.johnson@bilearner.com,Active,Contract,Zone C,Full-Time,22-08-1994,Male,Fully Meets,5
3486,Brendon,Mcconnell,31-Oct-22,8-Jun-23,Victoria Krause,brendon.mcconnell@bilearner.com,Active,Part-Time,Zone C,Temporary,14-11-1990,Male,Fully Meets,4
3487,Kimora,Parsons,15-Mar-23,,Jesse Hunt,kimora.parsons@bilearner.com,Active,Contract,Zone B,Part-Time,1/2/1994,Female,Fully Meets,4
3488,Willie,Patterson,9-Sep-22,,Shane Jones,willie.patterson@bilearner.com,Active,Contract,Zone B,Full-Time,12/11/1997,Female,Fully Meets,2
3489,Devyn,Powers,4-Mar-22,,Jessica Murphy,devyn.powers@bilearner.com,Active,Part-Time,Zone A,Temporary,2/5/1953,Female,Fully Meets,2
3490,Weston,Preston,11-Feb-19,,Crystal Wallace,weston.preston@bilearner.com,Active,Part-Time,Zone A,Part-Time,10/7/1991,Female,Fully Meets,2
3491,Lennon,Buchanan,26-Jan-21,,Tina Nelson,lennon.buchanan@bilearner.com,Active,Contract,Zone B,Full-Time,2/6/1973,Male,Fully Meets,5
3492,Vicente,Merritt,26-Nov-19,,Ashley Smith,vicente.merritt@bilearner.com,Active,Full-Time,Zone C,Full-Time,8/1/1993,Male,Fully Meets,1
3493,Hugo,Clay,15-Jul-19,,Eric Taylor,hugo.clay@bilearner.com,Active,Full-Time,Zone C,Full-Time,17-04-1984,Male,Fully Meets,5
3494,Cohen,Raymond,18-Jun-20,,Jacob Snyder,cohen.raymond@bilearner.com,Active,Contract,Zone B,Full-Time,8/2/1994,Male,Fully Meets,4
3495,Tia,Ellis,22-Jun-23,22-Jul-23,Daniel Cabrera,tia.ellis@bilearner.com,Active,Part-Time,Zone B,Temporary,27-01-1993,Male,Fully Meets,4
3496,Aspen,Bentley,2-Dec-21,,Barbara Garcia,aspen.bentley@bilearner.com,Active,Contract,Zone A,Part-Time,19-09-1964,Male,Fully Meets,5
3497,Graham,Rodriguez,8-Dec-21,,Kendra Murray,graham.rodriguez@bilearner.com,Active,Part-Time,Zone C,Temporary,18-02-1981,Female,Fully Meets,1
3498,Joel,Mcmillan,26-Apr-23,22-Jun-23,Peter Harvey,joel.mcmillan@bilearner.com,Active,Full-Time,Zone A,Full-Time,17-10-1998,Female,Fully Meets,2
3499,Maci,Frost,25-Sep-18,20-Dec-21,Patrick Daniel,maci.frost@bilearner.com,Active,Part-Time,Zone C,Temporary,16-01-1971,Female,Fully Meets,5
3500,Nevaeh,Lucas,20-Nov-18,21-Jun-20,Bryan Douglas,nevaeh.lucas@bilearner.com,Active,Full-Time,Zone B,Part-Time,25-02-2000,Female,Fully Meets,1
3501,Garrett,Zimmerman,30-Aug-20,30-Aug-22,Destiny Hopkins,garrett.zimmerman@bilearner.com,Future Start,Part-Time,Zone A,Part-Time,19-04-1959,Male,Fully Meets,4
3502,Eugene,Marks,1-Oct-19,,Angela Morris,eugene.marks@bilearner.com,Active,Full-Time,Zone C,Temporary,29-06-1976,Male,Fully Meets,1
3503,Geovanni,Pugh,20-Jan-22,,Erica Franklin,geovanni.pugh@bilearner.com,Active,Part-Time,Zone A,Temporary,27-07-1951,Male,Fully Meets,4
3504,Javon,Kelley,10-Oct-21,,Gabriela Orr,javon.kelley@bilearner.com,Active,Full-Time,Zone B,Part-Time,23-08-1980,Male,Fully Meets,2
3505,Amaya,Hicks,29-Aug-20,,Michael Wilkins,amaya.hicks@bilearner.com,Active,Contract,Zone B,Temporary,24-07-1943,Male,Fully Meets,1
3506,Laila,Woodard,27-Aug-19,10-May-23,Jordan Vega,laila.woodard@bilearner.com,Active,Full-Time,Zone B,Temporary,6/7/1988,Male,Fully Meets,2
3507,Ivan,Huff,25-Feb-21,7-Apr-23,John Miller,ivan.huff@bilearner.com,Active,Full-Time,Zone A,Full-Time,24-03-1973,Male,Fully Meets,4
3508,Aidan,Harding,13-Jul-21,,Trevor Adkins,aidan.harding@bilearner.com,Active,Full-Time,Zone B,Part-Time,26-05-1942,Male,Fully Meets,5
3509,Cruz,Boyer,14-Apr-21,,Marcus Hunt,cruz.boyer@bilearner.com,Active,Part-Time,Zone C,Full-Time,4/11/1977,Female,Fully Meets,2
3510,Raven,Koch,10-Feb-20,,Jennifer King,raven.koch@bilearner.com,Active,Part-Time,Zone A,Full-Time,17-10-1956,Female,Fully Meets,2
3511,Karli,Barker,17-Aug-21,31-Dec-21,Shawn Dudley,karli.barker@bilearner.com,Active,Part-Time,Zone B,Full-Time,18-02-1997,Female,Fully Meets,4
3512,Tyrone,Sosa,17-Apr-23,22-Jun-23,Lindsay Chang,tyrone.sosa@bilearner.com,Future Start,Contract,Zone C,Temporary,25-10-1996,Female,Fully Meets,2
3513,Damaris,Cisneros,2-Sep-22,24-May-23,Sharon Ruiz,damaris.cisneros@bilearner.com,Future Start,Contract,Zone C,Temporary,13-11-1959,Male,Fully Meets,5
3514,Alexus,Estes,15-Apr-20,,April Randolph,alexus.estes@bilearner.com,Active,Full-Time,Zone B,Part-Time,3/1/1958,Male,Fully Meets,1
3515,Kinsley,Flowers,9-Mar-22,10-Dec-22,Mary Reilly,kinsley.flowers@bilearner.com,Future Start,Part-Time,Zone A,Part-Time,29-04-1997,Male,Fully Meets,4
3516,Deborah,Love,7-Apr-22,22-Jan-23,Eric Goodman,deborah.love@bilearner.com,Active,Contract,Zone B,Part-Time,25-06-1988,Male,Fully Meets,5
3517,Milagros,Francis,19-Feb-20,,Caleb Schneider,milagros.francis@bilearner.com,Active,Part-Time,Zone A,Part-Time,4/1/1942,Male,Fully Meets,4
3518,Roberto,Michael,10-Apr-21,4-Jul-22,Cheryl Henry,roberto.michael@bilearner.com,Active,Contract,Zone B,Part-Time,24-05-1969,Female,Fully Meets,2
3519,Elaine,Ewing,19-Dec-21,2-Mar-22,Dan Hernandez,elaine.ewing@bilearner.com,Active,Part-Time,Zone C,Temporary,28-03-1951,Male,Fully Meets,2
3520,Caiden,Munoz,13-Dec-20,13-Jan-23,Teresa Daniel,caiden.munoz@bilearner.com,Active,Full-Time,Zone C,Temporary,1/3/1963,Female,Fully Meets,1
3521,Jocelyn,Bradford,26-Feb-19,,Melissa Decker,jocelyn.bradford@bilearner.com,Active,Contract,Zone C,Part-Time,16-04-1949,Female,Fully Meets,4
3522,Marques,Armstrong,2-Mar-20,,Michael Nguyen,marques.armstrong@bilearner.com,Active,Full-Time,Zone C,Part-Time,12/10/1983,Female,Fully Meets,1
3523,Rohan,Chapman,25-Jun-21,25-Aug-22,Tony Mcconnell,rohan.chapman@bilearner.com,Active,Full-Time,Zone A,Temporary,19-12-1978,Female,Fully Meets,2
3524,Emmanuel,Franklin,26-Jul-21,4-May-22,Adam Gibson,emmanuel.franklin@bilearner.com,Future Start,Contract,Zone B,Full-Time,11/11/1999,Male,Fully Meets,2
3525,Clayton,Mccormick,3-Jul-22,10-Jan-23,Stephanie Duke,clayton.mccormick@bilearner.com,Future Start,Contract,Zone B,Temporary,29-01-1967,Male,Fully Meets,2
3526,Darius,Krause,15-Sep-22,,Paige Flores MD,darius.krause@bilearner.com,Active,Full-Time,Zone B,Full-Time,30-05-1948,Male,Fully Meets,4
3527,Ahmed,Hawkins,1-May-20,25-Feb-21,Hannah Snyder,ahmed.hawkins@bilearner.com,Active,Full-Time,Zone B,Temporary,15-10-1974,Male,Fully Meets,1
3528,Kymani,Benjamin,13-Oct-22,,William Ayala,kymani.benjamin@bilearner.com,Active,Full-Time,Zone C,Part-Time,13-12-1991,Male,Fully Meets,2
3529,Callum,Mcdaniel,3-Jan-20,24-Aug-20,Samuel Moore,callum.mcdaniel@bilearner.com,Active,Part-Time,Zone C,Full-Time,18-06-1994,Male,Fully Meets,2
3530,Zariah,Black,13-Nov-19,,Jenna Weaver,zariah.black@bilearner.com,Active,Full-Time,Zone B,Part-Time,16-06-1993,Female,Fully Meets,2
3531,Ronnie,Mayer,17-Jun-23,,Dylan Blake,ronnie.mayer@bilearner.com,Active,Full-Time,Zone C,Full-Time,18-05-1943,Male,Fully Meets,1
3532,Marlon,Ford,14-Oct-21,,Monique Anderson,marlon.ford@bilearner.com,Active,Part-Time,Zone B,Full-Time,27-11-1966,Female,Fully Meets,1
3533,Slade,Griffith,1-Jun-21,16-Jul-23,Kelsey Gibson,slade.griffith@bilearner.com,Active,Contract,Zone B,Full-Time,12/11/1966,Male,Fully Meets,2
3534,Lee,Frye,14-Sep-18,,Sonia Diaz,lee.frye@bilearner.com,Active,Full-Time,Zone A,Full-Time,16-08-1959,Female,Fully Meets,4
3535,Veronica,Rowe,11-Dec-18,2-Jun-22,Brian Morton,veronica.rowe@bilearner.com,Active,Full-Time,Zone A,Temporary,2/2/1994,Female,Fully Meets,4
3536,Aylin,Berg,6-Aug-22,,Thomas Holmes,aylin.berg@bilearner.com,Active,Contract,Zone C,Temporary,2/1/1989,Female,Fully Meets,2
3537,Neveah,Rowe,28-May-22,24-Feb-23,Dawn Perez,neveah.rowe@bilearner.com,Future Start,Contract,Zone C,Part-Time,11/7/1954,Male,Fully Meets,2
3538,Keith,Baxter,16-Jun-19,5-Mar-22,Diane Parker,keith.baxter@bilearner.com,Future Start,Part-Time,Zone C,Part-Time,29-08-1959,Male,Fully Meets,2
3539,Chaz,Bruce,8-Dec-19,,John Johnson,chaz.bruce@bilearner.com,Active,Full-Time,Zone C,Temporary,27-11-1983,Male,Fully Meets,5
3540,Maya,Mccann,12-Mar-20,9-Oct-22,Dakota Robinson,maya.mccann@bilearner.com,Active,Full-Time,Zone B,Part-Time,9/6/1983,Male,Exceeds,4
3541,Aaron,Weber,6-Apr-20,24-Jul-23,Melanie Garcia,aaron.weber@bilearner.com,Active,Full-Time,Zone B,Full-Time,27-10-1991,Male,Exceeds,2
3542,Ellie,Gill,15-Apr-23,,Amanda Knight,ellie.gill@bilearner.com,Active,Contract,Zone A,Temporary,1/3/1948,Male,Needs Improvement,1
3543,Rayne,Kerr,10-Nov-20,,Kimberly Cardenas,rayne.kerr@bilearner.com,Active,Part-Time,Zone A,Temporary,18-02-1981,Female,Fully Meets,2
3544,Samara,Mcbride,29-Jun-23,9-Jul-23,Laura Salinas,samara.mcbride@bilearner.com,Active,Contract,Zone A,Temporary,16-09-2000,Male,Fully Meets,2
3545,Ryann,Rubio,7-Mar-22,,Andres Jones,ryann.rubio@bilearner.com,Active,Full-Time,Zone C,Temporary,28-01-1943,Female,Fully Meets,1
3546,Paris,Carr,31-Jul-21,27-Jan-23,Jeffrey Huffman,paris.carr@bilearner.com,Active,Full-Time,Zone B,Part-Time,14-07-1980,Male,Exceeds,1
3547,Adriel,Wiggins,20-Jan-22,,Sara Edwards,adriel.wiggins@bilearner.com,Active,Contract,Zone B,Full-Time,25-03-1947,Female,Needs Improvement,2
3548,Sanaa,Glass,11-Jul-21,10-Oct-22,Stephen Garcia,sanaa.glass@bilearner.com,Active,Part-Time,Zone A,Full-Time,25-01-1964,Female,Fully Meets,1
3549,Ryan,Lynch,15-Oct-18,18-Oct-20,Tracy Castro MD,ryan.lynch@bilearner.com,Active,Full-Time,Zone C,Full-Time,17-03-1955,Female,Fully Meets,2
3550,Charlie,Atkinson,26-Nov-21,14-Oct-22,Jennifer Hicks,charlie.atkinson@bilearner.com,Future Start,Part-Time,Zone C,Temporary,26-03-1988,Male,Fully Meets,1
3551,Emery,Roach,11-Aug-18,,Victoria Bailey,emery.roach@bilearner.com,Active,Part-Time,Zone C,Part-Time,4/7/1954,Male,Needs Improvement,4
3552,Harper,Ramos,16-Feb-20,3-Jun-20,Maria Chan,harper.ramos@bilearner.com,Active,Full-Time,Zone B,Full-Time,11/8/1942,Male,Needs Improvement,1
3553,Khalil,Mendez,20-Jan-20,,Regina Martinez,khalil.mendez@bilearner.com,Active,Contract,Zone C,Temporary,7/5/1949,Male,Fully Meets,4
3554,Lizeth,Holland,31-Mar-19,,Tonya Martin,lizeth.holland@bilearner.com,Active,Part-Time,Zone C,Temporary,14-10-1958,Male,Fully Meets,1
3555,Matilda,Randall,6-Jan-23,7-May-23,Daniel Wolf,matilda.randall@bilearner.com,Active,Full-Time,Zone C,Temporary,11/1/1988,Female,Fully Meets,4
3556,Damien,Howe,18-Jul-19,15-Jan-20,Sarah Petersen,damien.howe@bilearner.com,Active,Full-Time,Zone B,Temporary,16-06-1961,Male,Exceeds,2
3557,Nicholas,Obrien,13-Feb-19,,Victoria Christian DDS,nicholas.obrien@bilearner.com,Active,Part-Time,Zone C,Temporary,6/6/1960,Male,Fully Meets,2
3558,Mildred,Gentry,30-Dec-18,,Erin Moore,mildred.gentry@bilearner.com,Active,Part-Time,Zone A,Part-Time,4/6/1959,Female,Fully Meets,1
3559,Wilson K,Adinolfi,6-Nov-19,6-Sep-20,Andrea Gutierrez,wilson k.adinolfi@bilearner.com,Active,Part-Time,Zone C,Full-Time,18-11-1991,Male,Fully Meets,2
3560,Joanne,Handschiegl,1-Jun-22,,Wanda Ross DDS,joanne.handschiegl@bilearner.com,Active,Contract,Zone C,Full-Time,18-02-1954,Female,Exceeds,4
3561,Dianna,Blount,28-Mar-23,,Steven King,dianna.blount@bilearner.com,Active,Part-Time,Zone C,Temporary,31-01-1959,Female,Fully Meets,5
3562,Jean,Crimmings,21-May-19,5-Jan-23,Stephen Rodriguez,jean.crimmings@bilearner.com,Future Start,Contract,Zone B,Full-Time,9/4/1954,Female,Exceeds,2
3563,Nore,Sadki,1-Jan-19,,Patricia Carter,nore.sadki@bilearner.com,Active,Contract,Zone B,Full-Time,15-10-1946,Male,PIP,4
3564,Susan,Lundy,26-Jan-19,2-Dec-20,Diana Johnson,susan.lundy@bilearner.com,Voluntarily Terminated,Full-Time,Zone C,Temporary,7/11/1994,Female,Fully Meets,1
3565,Kramer,Keatts,11-Sep-21,,Diana Good,kramer.keatts@bilearner.com,Active,Part-Time,Zone B,Full-Time,10/5/1968,Male,Fully Meets,4
3566,Maliki,Moumanil,26-Sep-21,,Desiree Stephens,maliki.moumanil@bilearner.com,Active,Part-Time,Zone A,Part-Time,5/10/1963,Male,Fully Meets,2
3567,Nader,Barton,4-Mar-23,,Debra Garcia,nader.barton@bilearner.com,Active,Full-Time,Zone C,Full-Time,2/9/1966,Male,Fully Meets,4
3568,Quinn,Rarrick,11-Jul-23,29-Jul-23,Susan Brown,quinn.rarrick@bilearner.com,Voluntarily Terminated,Full-Time,Zone B,Part-Time,8/12/1974,Male,Fully Meets,2
3569,Beatrice,Chace,9-Feb-19,28-Aug-20,Margaret Hampton,beatrice.chace@bilearner.com,Active,Part-Time,Zone B,Temporary,19-07-1995,Female,Fully Meets,2
3570,Adrienne J,Homberger,19-Apr-19,26-Oct-21,Brandon Miller,adrienne j.homberger@bilearner.com,Voluntarily Terminated,Full-Time,Zone B,Temporary,23-11-1974,Female,Fully Meets,1
3571,Marilyn,Linares,7-Jul-22,17-Jul-23,Dr. Matthew Schmitt,marilyn.linares@bilearner.com,Voluntarily Terminated,Part-Time,Zone C,Full-Time,29-08-1947,Female,Fully Meets,4
3572,Timothy,Sullivan,12-Mar-19,19-May-20,Shawn Berry,timothy.sullivan@bilearner.com,Active,Contract,Zone A,Part-Time,7/6/1994,Male,Fully Meets,5
3573,Jennifer,Medeiros,9-Mar-20,17-Oct-21,Brittany Martin,jennifer.medeiros@bilearner.com,Active,Contract,Zone B,Full-Time,26-10-1983,Female,Exceeds,4
3574,Anna,Von Massenbach,18-May-21,4-Jan-22,Timothy Weaver,anna.von massenbach@bilearner.com,Future Start,Contract,Zone B,Full-Time,6/5/1951,Female,Fully Meets,1
3575,George,Johnson,28-Apr-21,18-Jan-22,Amanda Smith,george.johnson@bilearner.com,Voluntarily Terminated,Part-Time,Zone A,Temporary,5/3/1987,Male,Exceeds,5
3576,Angela,Erilus,21-Jul-21,26-Apr-23,Marc Cummings,angela.erilus@bilearner.com,Active,Full-Time,Zone B,Full-Time,26-04-1992,Female,Exceeds,4
3577,Miguel,Estremera,15-Sep-19,,James Rodriguez,miguel.estremera@bilearner.com,Active,Part-Time,Zone C,Temporary,30-05-1957,Male,Fully Meets,4
3578,Clinton,Owad,4-May-19,,Elizabeth Sullivan MD,clinton.owad@bilearner.com,Active,Full-Time,Zone A,Temporary,30-05-1957,Male,Exceeds,2
3579,Constance,Sloan,20-May-21,,Sean Marsh,constance.sloan@bilearner.com,Active,Full-Time,Zone C,Part-Time,15-11-1946,Female,Needs Improvement,4
3580,Davion,Sanchez,16-Dec-19,,Kathryn Wilkinson,davion.sanchez@bilearner.com,Active,Full-Time,Zone C,Full-Time,21-04-1942,Male,Fully Meets,4
3581,Ross,Strickland,20-Nov-20,1-May-23,Paul Walker,ross.strickland@bilearner.com,Active,Full-Time,Zone A,Part-Time,8/3/1943,Male,Fully Meets,2
3582,Augustus,Drake,19-Aug-20,4-May-22,Elizabeth Robertson,augustus.drake@bilearner.com,Active,Part-Time,Zone B,Part-Time,9/8/1968,Male,Fully Meets,4
3583,Gracelyn,Huynh,28-Apr-21,18-Apr-22,Tasha Mayer,gracelyn.huynh@bilearner.com,Active,Full-Time,Zone C,Temporary,20-11-1958,Female,Needs Improvement,4
3584,Orlando,Armstrong,14-Aug-20,,Chris Walker,orlando.armstrong@bilearner.com,Active,Contract,Zone C,Full-Time,7/11/1987,Female,Fully Meets,4
3585,Edward,Everett,22-Dec-21,,Traci Floyd,edward.everett@bilearner.com,Active,Full-Time,Zone A,Full-Time,16-07-1992,Female,Fully Meets,4
